station_id,num_bikes_available_mean,mechanical_available,ebike_available,num_docks_available_mean,num_docks_available_max,is_charging_station,status,is_installed,is_renting,is_returning,ttl,checkouts_hour_station,temperature,precipitation,wind_speed,weather_category,day_of_week,hour_of_day,month,checkouts_hour_station_lag1,checkouts_hour_station_lag24,lat,lon,address
83,11.833333333333334,2.0,9.833333333333334,6.0,10,True,IN_SERVICE,1,1,1,0,8,23.0,0.0,24.1,clear,1,13,10,8.0,8.0,41.3821658,2.1520645,"C/ CALABRIA, 158"
443,6.916666666666667,0.1666666666666666,6.75,22.333333333333332,27,True,IN_SERVICE,1,1,1,0,14,28.0,,20.5,clear,6,15,9,9.0,5.0,41.3887127,2.1542277,"C/ CASANOVA, 139"
73,5.166666666666667,1.1666666666666667,4.0,15.25,19,True,IN_SERVICE,1,1,1,0,13,18.0,0.0,7.6,cloudy,0,6,10,4.0,2.0,41.392135,2.1563542,"C/ ENRIC GRANADOS, 93"
123,1.5,0.0833333333333333,1.4166666666666667,16.166666666666668,18,True,IN_SERVICE,1,1,1,0,6,1.0,0.0,1.8,clear,1,9,1,3.0,2.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
371,28.25,24.916666666666668,3.3333333333333335,5.75,7,True,IN_SERVICE,1,1,1,0,2,22.0,0.0,7.6,cloudy,6,18,8,4.0,8.0,41.4040525,2.181199,"C/ DELS ENAMORATS, 49"
222,9.083333333333334,1.0,8.083333333333334,12.5,13,True,IN_SERVICE,1,1,1,1,1,24.0,0.0,1.8,clear,1,0,8,11.0,3.0,41.4013296,2.1574439,"C/ DEL CANÓ, 1"
26,2.4166666666666665,0.5,1.9166666666666667,12.0,14,True,IN_SERVICE,1,1,1,0,5,29.0,0.0,11.2,clear,5,18,8,6.0,5.0,41.4071692,2.1820722,"C/ DOS DE MAIG, 230-232"
89,0.9166666666666666,0.0,0.9166666666666666,22.25,23,True,IN_SERVICE,1,1,1,0,2,28.0,,16.6,clear,6,14,9,3.0,1.0,41.3871904,2.149131,"C/ ROSSELLÓ,  101"
112,10.0,5.666666666666667,4.333333333333333,10.0,14,True,IN_SERVICE,1,1,1,0,12,10.0,0.0,9.4,clear,2,23,11,0.0,13.0,41.3776721,2.157233,"C/ FLORIDABLANCA, 49"
510,7.333333333333333,0.1666666666666666,7.166666666666667,18.416666666666668,22,True,IN_SERVICE,1,1,1,0,12,20.0,0.0,1.8,cloudy,4,10,10,9.0,4.0,41.3989151,2.1564253,"C/ GRAN DE GRÀCIA, 37"
83,7.416666666666667,4.25,3.1666666666666665,12.333333333333334,17,True,IN_SERVICE,1,1,1,1,10,20.0,0.0,13.0,clear,4,12,10,6.0,6.0,41.3821658,2.1520645,"C/ CALABRIA, 158"
153,18.666666666666668,17.166666666666668,1.5,2.5833333333333335,6,True,IN_SERVICE,1,1,1,1,8,11.0,0.0,9.4,cloudy,4,22,11,6.0,8.0,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU"
29,3.9166666666666665,0.9166666666666666,3.0,17.75,22,True,IN_SERVICE,1,1,1,0,11,24.0,0.0,3.6,clear,0,10,9,3.0,4.0,41.401061,2.169941,"C/ PROVENÇA, 388-390"
153,19.666666666666668,13.25,6.416666666666667,2.0,5,True,IN_SERVICE,1,1,1,0,11,27.0,,18.4,clear,6,17,9,5.0,5.0,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU"
24,18.75,17.25,1.5,16.833333333333332,21,True,IN_SERVICE,1,1,1,0,11,22.0,0.0,1.8,cloudy,1,10,9,3.0,4.0,41.4005784,2.1788855,"C/ MARINA, 199"
42,2.0,2.0,0.0,22.0,22,True,IN_SERVICE,1,1,1,0,0,16.0,0.0,3.6,clear,3,0,9,1.0,0.0,41.404511,2.189881,"C/ CIUTAT DE GRANADA, 168| AV.DIGONAL"
123,5.416666666666667,0.3333333333333333,5.083333333333333,11.5,15,True,IN_SERVICE,1,1,1,0,6,25.0,0.0,14.8,clear,3,20,9,10.0,5.0,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
72,12.583333333333334,7.166666666666667,5.416666666666667,13.333333333333334,15,True,IN_SERVICE,1,1,1,0,3,24.0,0.0,1.8,cloudy,4,4,8,1.0,1.0,41.3927771,2.1586273,"C/ PROVENÇA, 215"
222,2.0,0.0833333333333333,1.9166666666666667,20.75,23,True,IN_SERVICE,1,1,1,0,7,10.0,0.0,9.4,clear,4,17,12,9.0,5.0,41.4013296,2.1574439,"C/ DEL CANÓ, 1"
26,12.916666666666666,4.916666666666667,8.0,5.083333333333333,6,True,IN_SERVICE,1,1,1,0,0,10.0,0.0,5.4,clear,0,2,11,1.0,4.0,41.4071692,2.1820722,"C/ DOS DE MAIG, 230-232"
52,15.166666666666666,13.0,2.1666666666666665,13.833333333333334,15,True,IN_SERVICE,1,1,1,0,2,15.0,0.0,3.6,clear,3,3,11,4.0,1.0,41.381708,2.177292,"PL. SANT MIQUEL, 4"
148,21.5,0.9166666666666666,20.583333333333332,5.166666666666667,7,True,IN_SERVICE,1,1,1,0,7,17.0,0.0,11.2,clear,4,22,9,6.0,6.0,41.3783467,2.1633139,"RONDA SANT PAU, 79"
395,15.75,9.333333333333334,6.416666666666667,13.5,17,True,IN_SERVICE,1,1,1,0,7,17.0,0.0,11.2,cloudy,2,5,10,1.0,9.0,41.3860607,2.1702467,"PL. CATALUNYA, 22"
230,18.25,15.0,3.25,4.75,5,True,IN_SERVICE,1,1,1,0,1,-1.0,0.0,7.6,clear,3,1,1,4.0,0.0,41.4059356,2.1517977,"C/ DE NIL FABRA, 16-20"
29,8.5,1.3333333333333333,7.166666666666667,10.75,15,True,IN_SERVICE,1,1,1,0,9,14.0,0.9,7.6,rain,5,10,10,3.0,6.0,41.401061,2.169941,"C/ PROVENÇA, 388-390"
443,19.083333333333332,4.916666666666667,14.166666666666666,10.75,14,True,IN_SERVICE,1,1,1,0,12,28.0,0.0,6.0,clear,0,8,8,4.0,8.0,41.3887127,2.1542277,"C/ CASANOVA, 139"
61,1.0833333333333333,0.6666666666666666,0.4166666666666667,17.916666666666668,19,True,IN_SERVICE,1,1,1,0,3,14.0,0.0,16.6,cloudy,6,16,1,4.0,8.0,41.39352,2.166797,"C/ ARAGÓ, 288"
80,1.5833333333333333,0.5833333333333334,1.0,14.5,16,True,IN_SERVICE,1,1,1,0,7,7.3,0.0,5.4,cloudy,0,19,12,13.0,7.0,41.389668,2.1599078,"C/ ENRIC  GRANADOS, 35"
229,6.75,1.0,5.75,16.5,18,True,IN_SERVICE,1,1,1,1,2,22.0,0.0,7.6,clear,6,5,8,3.0,4.0,41.4050968,2.1569161,"C/ DE LA SANTACREU, 2 (PL. DE LA VIRREINA)"
